[2025-02-21 21:15:16,962: INFO: main: Welcome to custom log | created by Dharaneesh]
[2025-02-22 05:00:45,159: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-02-22 05:00:45,170: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-22 05:00:45,170: INFO: common: created directory at: artifacts]
[2025-02-22 05:00:45,170: INFO: common: created directory at: artifacts/data_ingestion]
[2025-02-22 05:02:35,110: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-02-22 05:02:35,117: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-22 05:02:35,123: INFO: common: created directory at: artifacts]
[2025-02-22 05:02:35,123: INFO: common: created directory at: artifacts/data_ingestion]
[2025-02-22 05:04:36,974: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-02-22 05:04:36,974: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-22 05:04:36,974: INFO: common: created directory at: artifacts]
[2025-02-22 05:04:36,982: INFO: common: created directory at: artifacts/data_ingestion]
[2025-02-22 05:06:43,950: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-02-22 05:06:43,950: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-22 05:06:43,958: INFO: common: created directory at: artifacts]
[2025-02-22 05:06:43,959: INFO: common: created directory at: artifacts/data_ingestion]
[2025-02-22 05:06:43,959: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1lsbWNngYHZMBuVfFr83-UcT0xKwVD8SN/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-02-22 05:12:05,069: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1lsbWNngYHZMBuVfFr83-UcT0xKwVD8SN/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-02-22 05:31:07,834: INFO: main: >>>>>> 01 - Stage 01 - Stage => Data Ingestion started. <<<<<<]
[2025-02-22 05:31:07,834: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-02-22 05:31:07,834: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-22 05:31:07,834: INFO: common: created directory at: artifacts]
[2025-02-22 05:31:07,841: INFO: common: created directory at: artifacts/data_ingestion]
[2025-02-22 05:31:07,843: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1lsbWNngYHZMBuVfFr83-UcT0xKwVD8SN/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-02-22 05:37:39,533: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1lsbWNngYHZMBuVfFr83-UcT0xKwVD8SN/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-02-22 05:38:01,760: INFO: main: >>>>>> 01 - Stage 01 - Stage => Data Ingestion completed. <<<<<<

x==========x]
